形态日期,股票代码,股票名称,D0日期,D0成交量,D1日期,D1开盘价,D1收盘价,D1最高价,D1成交量,D2日期,D2最高价,D2最低价
20260902,000498,山东路桥,20260831,77452.0,20260901,4.92,5.02,5.04,131080.0,20260902,5.03,4.93
20260902,000521,长虹美菱,20260831,53948.0,20260901,4.83,4.89,4.92,120441.0,20260902,4.88,4.82
20260902,000563,陕国投Ａ,20260831,336987.0,20260901,3.02,3.08,3.09,544507.0,20260902,3.09,3.02
20260902,000980,众泰汽车,20260831,753496.0,20260901,1.69,1.74,1.75,1168170.0,20260902,1.74,1.68
20260902,001227,兰州银行,20260831,45607600.0,20260901,2.14,2.18,2.19,103735700.0,20260902,2.19,2.14
20260902,001391,国货航,20260831,17937700.0,20260901,4.07,4.12,4.14,26928100.0,20260902,4.12,4.07
20260902,002004,华邦健康,20260831,23895400.0,20260901,4.48,4.58,4.64,37160700.0,20260902,4.59,4.47
20260902,002226,江南化工,20260831,15973100.0,20260901,5.16,5.32,5.35,36199300.0,20260902,5.31,5.17
20260902,002374,中锐股份,20260831,11408000.0,20260901,3.13,3.21,3.25,25350000.0,20260902,3.2,3.12
20260902,300242,佳云科技,20260831,15931200.0,20260901,4.11,4.26,4.28,24928800.0,20260902,4.26,4.12
20260902,300428,立中集团,20260831,9003600.0,20260901,19.91,20.31,20.62,14577900.0,20260902,20.3,19.91
20260902,600300,维维股份,20260831,36527000.0,20260901,3.21,3.32,3.36,61479700.0,20260902,3.32,3.22
20260902,600373,中文传媒,20260831,15947500.0,20260901,7.25,7.45,7.55,23945500.0,20260902,7.46,7.25
20260902,600446,金证股份,20260831,12857600.0,20260901,11.06,11.38,11.47,22788500.0,20260902,11.38,11.05
20260902,600467,好当家,20260831,34406300.0,20260901,2.4,2.48,2.5,55515300.0,20260902,2.47,2.41
20260902,600518,康美药业,20260831,109382400.0,20260901,1.38,1.41,1.42,190805900.0,20260902,1.42,1.39
20260902,600526,菲达环保,20260831,6420700.0,20260901,4.7,4.76,4.77,10006500.0,20260902,4.76,4.69
20260902,600668,尖峰集团,20260831,4253600.0,20260901,7.51,7.64,7.74,7545700.0,20260902,7.65,7.52
20260902,600717,天津港,20260831,19550600.0,20260901,4.28,4.36,4.37,30813800.0,20260902,4.36,4.29
20260902,600979,广安爱众,20260831,15902000.0,20260901,3.95,4.01,4.02,25504100.0,20260902,4.02,3.95
20260902,601228,广州港,20260831,21106500.0,20260901,3.08,3.14,3.16,32100300.0,20260902,3.15,3.09
20260902,601686,友发集团,20260831,3577200.0,20260901,5.21,5.27,5.29,7471200.0,20260902,5.28,5.22
20260902,601766,中国中车,20260831,105803300.0,20260901,6.2,6.31,6.33,194027000.0,20260902,6.32,6.2
20260902,601880,辽港股份,20260831,65877900.0,20260901,1.46,1.47,1.48,119806500.0,20260902,1.48,1.45
20260902,603300,海南华铁,20260831,24957100.0,20260901,4.84,4.98,5.01,51897200.0,20260902,4.97,4.84
20260902,605005,合兴股份,20260831,827300.0,20260901,16.05,16.24,16.32,1856800.0,20260902,16.25,16.05
